id,name,category,price,stock
1,electronics-1,electronics,167.24,312
2,clothing-2,clothing,204.85,421
3,books-3,books,297.43,438
4,home-4,home,455.82,8
5,toys-5,toys,109.51,180
6,food-6,food,353.72,362
7,electronics-7,electronics,309.01,437
8,clothing-8,clothing,271.44,274
9,books-9,books,172.98,119
10,home-10,home,477.96,4
11,toys-11,toys,244.83,247
12,food-12,food,235.91,31
13,electronics-13,electronics,471.91,100
14,clothing-14,clothing,212.25,44
15,books-15,books,162.90,475
16,home-16,home,307.02,325
17,toys-17,toys,260.79,127
18,food-18,food,216.19,253
19,electronics-19,electronics,133.73,271
20,clothing-20,clothing,426.10,37
21,books-21,books,398.52,72
22,home-22,home,297.99,117
23,toys-23,toys,213.20,465
24,food-24,food,65.55,442
25,electronics-25,electronics,444.74,364
26,clothing-26,clothing,152.48,486
27,books-27,books,71.07,289
28,home-28,home,53.97,195
29,toys-29,toys,71.77,178
30,food-30,food,377.36,46
31,electronics-31,electronics,309.19,419
32,clothing-32,clothing,66.70,137
33,books-33,books,310.59,152
34,home-34,home,393.39,335
35,toys-35,toys,416.73,252
36,food-36,food,438.72,332
37,electronics-37,electronics,355.16,408
38,clothing-38,clothing,84.71,312
39,books-39,books,64.78,317
40,home-40,home,11.64,376
41,toys-41,toys,108.89,215
42,food-42,food,140.17,161
43,electronics-43,electronics,65.02,188
44,clothing-44,clothing,484.14,407
45,books-45,books,464.70,420
46,home-46,home,496.50,385
47,toys-47,toys,108.57,329
48,food-48,food,41.64,215
49,electronics-49,electronics,71.99,419
50,clothing-50,clothing,342.84,104
51,books-51,books,438.10,428
52,home-52,home,233.37,481
53,toys-53,toys,357.32,475
54,food-54,food,462.34,160
55,electronics-55,electronics,203.07,154
56,clothing-56,clothing,415.83,279
57,books-57,books,203.54,452
58,home-58,home,264.04,474
59,toys-59,toys,273.88,71
60,food-60,food,46.51,371
61,electronics-61,electronics,162.57,334
62,clothing-62,clothing,301.89,251
63,books-63,books,289.03,409
64,home-64,home,438.66,321
65,toys-65,toys,224.64,219
66,food-66,food,79.26,234
67,electronics-67,electronics,310.87,335
68,clothing-68,clothing,12.84,275
69,books-69,books,76.37,169
70,home-70,home,441.46,68
71,toys-71,toys,321.90,41
72,food-72,food,22.79,257
73,electronics-73,electronics,242.03,206
74,clothing-74,clothing,170.27,427
75,books-75,books,5.55,472
76,home-76,home,459.29,200
77,toys-77,toys,276.92,216
78,food-78,food,256.64,378
79,electronics-79,electronics,473.08,190
80,clothing-80,clothing,478.06,292
